X,Y,Name,description
-91.181481,30.4139163,176,
-91.1814354,30.4138423,177,
-91.1814944,30.4137567,178,
-91.181591,30.4137497,179,
-91.1821569,30.4137463,180,
-91.1822132,30.4140967,181,
-91.1818485,30.414121,182,
-91.1818257,30.4141487,183,
-91.1817766,30.4146931,184,
-91.1817927,30.4145682,185,
-91.1817859,30.4146365,186,
-91.1817564,30.4149453,187,
-91.1817497,30.4152085,188,
-91.1816357,30.4151819,189,
-91.1817015,30.4152004,190,
-91.1813782,30.4153912,191,
-91.181338,30.4153889,192,
-91.1813233,30.4152247,193,
-91.1813099,30.4150535,194,
-91.1813077,30.4149013,195,
-91.1812903,30.4147475,196,
-91.1814888,30.4149175,197,
-91.181301,30.4148134,198,
-91.1815719,30.4146932,199,
-91.1817141,30.4146874,200,
-91.1815719,30.4155536,201,
-91.1815357,30.4155872,202,
-91.1813989,30.4155397,203,
-91.1813627,30.4156334,204,
-91.1811213,30.4156369,205,
-91.1811079,30.4154634,206,
-91.1810905,30.4152217,207,
-91.1810811,30.4151084,208,
-91.1812206,30.4151234,209,
-91.1808987,30.4151292,210,
-91.1809081,30.4153709,211,
-91.1807908,30.4154599,212,
-91.1808015,30.4155964,213,
-91.180658,30.4155987,214,
-91.1806513,30.4155721,215,
-91.1806366,30.4153177,216,
-91.1805172,30.4152425,217,
-91.1803214,30.4151084,218,
-91.1799204,30.4151326,219,
-91.1798248,30.4151949,220,
-91.1799294,30.4149116,221,
-91.1796487,30.4152898,222,
-91.1796554,30.4154774,223,
-91.1788526,30.415478,224,
-91.1790383,30.4149024,225,
-91.1787027,30.4153336,226,
-91.178701,30.4155803,227,
-91.1783322,30.4157052,228,
-91.1786608,30.4156959,229,
-91.1796187,30.4077097,230,Patrick F Taylor Hall
-91.1786934,30.4071199,231,Business Education Complex
-91.1774135,30.4078774,232,Reilly Theatre
-91.1785543,30.4093643,233,
-91.1788333,30.4093596,234,
-91.1787421,30.409621,235,
-91.1786911,30.4099402,236,
-91.1785195,30.4102294,237,
-91.1779562,30.4102826,238,
-91.1779079,30.4097228,239,
-91.1784095,30.4093805,240,
-91.1778516,30.4093828,241,
-91.1787192,30.4092335,242,
-91.1787165,30.4089952,243,
-91.1789874,30.4089582,244,
-91.1789901,30.4084771,245,
-91.1789204,30.4082295,246,
-91.1786897,30.4080005,247,
-91.1784778,30.4079288,248,
-91.1783115,30.4077993,249,
-91.1782123,30.4078502,250,
-91.1780057,30.4076373,251,
-91.1780755,30.4075865,252,
-91.1785556,30.4077785,253,
-91.1786736,30.4077368,254,
-91.17862,30.407642,255,
-91.1785234,30.4074361,256,
-91.178687,30.4074824,257,
-91.1785926,30.4075795,258,
-91.1791317,30.407605,259,
-91.1790432,30.4078872,260,
-91.1793919,30.4069017,261,
-91.1803897,30.4072041,262,
-91.1799739,30.4082104,263,
-91.1790434,30.4081927,264,
-91.1807465,30.409645,265,
-91.1804769,30.4100926,266,
-91.180242,30.4099899,267,
-91.1797753,30.4098985,268,
-91.1795915,30.4099043,269,
-91.1797965,30.4103729,270,
-91.1796382,30.4103787,271,
-91.1794951,30.4103921,272,
-91.1778845,30.4114783,273,
-91.1777531,30.4116657,274,
-91.1778067,30.4117999,275,
-91.17804,30.4118708,276,
-91.1779789,30.4117904,277,
-91.1778787,30.411935,278,
-91.1777553,30.4118876,279,
-91.1776819,30.4119281,280,
-91.177696,30.4122129,281,
-91.1778527,30.4122932,282,
-91.1774202,30.412181,283,
-91.1773773,30.4121538,284,
-91.1770459,30.4121621,285,
-91.1767294,30.4122259,286,
-91.1767182,30.4121442,287,
-91.1768818,30.411862,288,
-91.1772036,30.4120031,289,
-91.1766618,30.4117857,290,
-91.1765787,30.4119846,291,
-91.1764151,30.4116793,292,
-91.1762407,30.411788,293,
-91.1763882,30.4115335,294,
-91.1762461,30.4119736,295,
-91.1764446,30.4121517,296,
-91.177591,30.4119468,297,
-91.1775628,30.4115963,298,
-91.1774139,30.4116252,299,
-91.1774247,30.4120994,300,
-91.1775765,30.4121324,301,
-91.177488,30.4118407,302,
-91.1771357,30.4104096,303,Department of Chemistry
-91.1768513,30.4098082,304,LSU Agcenter
-91.177023,30.4092345,305,
-91.1770176,30.4098961,306,
-91.1768299,30.4101182,307,
-91.1768138,30.4107566,308,
-91.1763148,30.410145,309,
-91.1762666,30.4095945,310,
-91.1763202,30.4091087,311,
-91.1760895,30.4090671,312,
-91.1761271,30.409576,313,
-91.1761325,30.4101635,314,
-91.1762022,30.4115191,315,
-91.1801004,30.4144129,317,Middleton Library
-91.1801165,30.4153705,318,LSU Museum of Natural Science
-91.1807981,30.413552,319,Prescott Hall
-91.1807834,30.4132166,320,William C Stubbs Hall
-91.1807556,30.4127224,321,Audubon Hall
-91.1807153,30.4123904,322,College of Agriculture
-91.1809039,30.4118313,323,Robert Reich School of Landscape Architcture
-91.1791562,30.4118662,324,Howe Russell Geosciences Complex
-91.1792996,30.4124242,325,Department of Physics and Astronomy
-91.1790847,30.4131966,326,Coates Hall
-91.1793489,30.4139472,327,Himes Hall
-91.1789136,30.4144796,328,Bell Tower
-91.1817316,30.413312,329,Lockett Hall
-91.1791269,30.4097155,330,Tureaud Hall
-91.1783839,30.4097109,331,LSU Ag Center Dairy Store
-91.1821401,30.412333,332,Hatcher Hall
-91.1823922,30.4129899,333,LSU College of Humanities and Social Sciences
-91.1826658,30.4135358,334,Manship School of Mass Communication
-91.1818255,30.4116963,335,Johnston Hall
-91.181751,30.4151164,336,
-91.181979,30.4151164,337,
-91.1777262,30.4090374,338,
-91.177576,30.4090883,339,
-91.1773078,30.4089449,340,
-91.1773003,30.4087488,341,
-91.1771514,30.4086644,342,
-91.1772211,30.4083672,343,
-91.1769937,30.4086307,344,
-91.1769668,30.4083034,345,
-91.1767349,30.4082827,346,
-91.1766942,30.407796,347,
-91.176916,30.40796,348,
-91.1775195,30.4075992,349,
-91.1776533,30.4074778,350,
-91.1772134,30.4068856,351,
-91.1773213,30.4067856,352,
-91.17745,30.4068782,353,
-91.1775734,30.406781,354,
-91.1780517,30.4066672,355,
-91.1782371,30.4068259,356,
-91.1789031,30.4069971,357,
-91.1793162,30.4070977,358,
-91.1792317,30.4073628,359,
-91.1788119,30.4072332,360,
-91.1781956,30.4070627,361,
-91.1794607,30.4066514,362,
-91.1783931,30.4063648,363,
-91.1781142,30.4066886,364,
-91.1780257,30.4062653,365,
-91.1812685,30.4071467,366,
-91.1808187,30.4079816,367,
-91.1804727,30.4086663,368,
-91.1807892,30.4088051,369,
-91.1806122,30.4087265,370,
-91.1806604,30.4087381,371,
-91.1810199,30.4080695,372,
-91.1804797,30.408963,373,
-91.1818077,30.4085187,374,
-91.1813544,30.4082781,375,
-91.1811988,30.4081647,376,
-91.1811768,30.4085494,377,
-91.1810132,30.4084523,378,
-91.18158,30.4089326,379,
-91.1821218,30.4091315,380,
-91.181977,30.4094878,381,
-91.1817437,30.4089812,382,
-91.1814727,30.4094322,383,
-91.1821456,30.4081129,384,
-91.1825748,30.4083258,385,
-91.1826982,30.4085617,386,
-91.1826606,30.4087144,387,
-91.1831917,30.4088763,388,
-91.1841305,30.4091493,389,
-91.1846884,30.4092788,390,
-91.1850111,30.4082939,391,
-91.1839114,30.407859,392,
-91.183552,30.4077479,393,
-91.1827849,30.407549,394,
-91.1823933,30.4074148,395,
-91.1822592,30.4077387,396,
-91.1824791,30.4080116,397,
-91.1834849,30.4079261,398,
-91.1827017,30.4078613,399,
-91.1828948,30.4083246,400,
-91.1832918,30.4083708,401,
-91.182986,30.4083593,402,
-91.1828493,30.4087687,403,
-91.1829619,30.4084333,404,
-91.1842681,30.4085351,405,College of the Coast and Environment
-91.1848475,30.4088034,406,
-91.180838,30.4138978,407,Allen Hall
-91.1786666,30.4125376,408,Nicholson Hall
-91.1786063,30.411892,409,Department of Geography and Anthropology
-91.1782392,30.4108386,410,School of Human Ecology
-91.179959,30.4100995,411,
-91.1772298,30.4145292,412,
-91.1762964,30.413336,413,
-91.177211,30.4133499,414,
-91.1763961,30.4157796,415,
-91.1774931,30.4157449,416,
-91.1779204,30.4153358,417,
-91.1780599,30.4154908,418,
-91.1779124,30.4157294,419,
-91.1796564,30.4156957,420,
-91.1799769,30.4157767,421,
-91.1806646,30.4156772,422,
-91.1808723,30.4156712,423,
-91.1795918,30.411585,424,
-91.1802973,30.4115665,425,
